Item,Ubicación,Preco,Terreno,Construcción,Hbitacionesa,Baños,Parqueos
1,Santa Ana,226500,146,160,3,"2,5",2
2,Escazu,765000,687,440,5,6,
3,Santa Ana,735000,324,703,3,"4,5",
4,Escazu,795000,382,406,5,"3,5",4
5,Sabana,380000,473,497,4,"3,5",
6,Escazu,820000,960,549,3,"4,5",4
7,Santa Ana,500000,937,350,4,"4,5",5
8,Escazu,820000,960,549,3,"4,5",4
9,Santa Ana,825000,690,361,4,"5,5",6
10,Escazu,690000,590,597,4,"5,5",3
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1,,,,,,,
2,,,,,,,
